a	b
37792.0	1658
5025.0	1659
70564.0	1660
37798.0	1661
70567.0	1662
37805.0	1663
70575.0	1664
5040.0	1665
70577.0	1666
5048.0	1667
5049.0	1668
37820.0	1669
5057.0	1670
5058.0	1671
70595.0	1672
37828.0	1673
70597.0	1674
37836.0	1675
70605.0	1676
70606.0	1677
5072.0	1678
5080.0	1679
37850.0	1680
70626.0	1681
37863.0	1682
70636.0	1683
5101.0	1684
37870.0	1685
70639.0	1686
37875.0	1687
37881.0	1688
5118.0	1689
37889.0	1690
5122.0	1691
37894.0	1692
70663.0	1693
5129.0	1694
5135.0	1695
37905.0	1696
70684.0	1697
5155.0	1698
37923.0	1699
5156.0	1700
37924.0	1701
70696.0	1702
5163.0	1703
70700.0	1704
5164.0	1705
70704.0	1706
37937.0	1707
5170.0	1708
37944.0	1709
5177.0	1710
37945.0	1711
70715.0	1712
37954.0	1713
5188.0	1714
5202.0	1715
37972.0	1716
70743.0	1717
37975.0	1718
70749.0	1719
5216.0	1720
70757.0	1721
70760.0	1722
37992.0	1723
5226.0	1724
37995.0	1725
70765.0	1726
37998.0	1727
5234.0	1728
5235.0	1729
38004.0	1730
70773.0	1731
5239.0	1732
70776.0	1733
70780.0	1734
70782.0	1735
70787.0	1736
70788.0	1737
70789.0	1738
38025.0	1739
70794.0	1740
5259.0	1741
70797.0	1742
38030.0	1743
5264.0	1744
38050.0	1745
5283.0	1746
38051.0	1747
70821.0	1748
5286.0	1749
38053.0	1750
38057.0	1751
5291.0	1752
70835.0	1753
70843.0	1754
5309.0	1755
38077.0	1756
5311.0	1757
70847.0	1758
5313.0	1759
38081.0	1760
70853.0	1761
70854.0	1762
5319.0	1763
38095.0	1764
5328.0	1765
5331.0	1766
5345.0	1767
38119.0	1768
70894.0	1769
5365.0	1770
5373.0	1771
70913.0	1772
5377.0	1773
5379.0	1774
70915.0	1775
5385.0	1776
38166.0	1777
5398.0	1778
38168.0	1779
5401.0	1780
5413.0	1781
70949.0	1782
38183.0	1783
70951.0	1784
38185.0	1785
38188.0	1786
70959.0	1787
70960.0	1788
38193.0	1789
70962.0	1790
38192.0	1791
70965.0	1792
70971.0	1793
38204.0	1794
38206.0	1795
5440.0	1796
38209.0	1797
70979.0	1798
38215.0	1799
38219.0	1800
70988.0	1801
5457.0	1802
5458.0	1803
5461.0	1804
5468.0	1805
38237.0	1806
71006.0	1807
71008.0	1808
71010.0	1809
5480.0	1810
71018.0	1811
71021.0	1812
5490.0	1813
5491.0	1814
5493.0	1815
38268.0	1816
71038.0	1817
38271.0	1818
38272.0	1819
5506.0	1820
71042.0	1821
5508.0	1822
71050.0	1823
5515.0	1824
71051.0	1825
38285.0	1826
5518.0	1827
5519.0	1828
5521.0	1829
71060.0	1830
5526.0	1831
71065.0	1832
5535.0	1833
5537.0	1834
71073.0	1835
71080.0	1836
5546.0	1837
5547.0	1838
5548.0	1839
38318.0	1840
38319.0	1841
5554.0	1842
71093.0	1843
38328.0	1844
38329.0	1845
38330.0	1846
38331.0	1847
5565.0	1848
71107.0	1849
5575.0	1850
71111.0	1851
38344.0	1852
5584.0	1853
38352.0	1854
71123.0	1855
5588.0	1856
71125.0	1857
38358.0	1858
5590.0	1859
71124.0	1860
38361.0	1861
38362.0	1862
5597.0	1863
38369.0	1864
71143.0	1865
71144.0	1866
5610.0	1867
5615.0	1868
38384.0	1869
38386.0	1870
5620.0	1871
5623.0	1872
71162.0	1873
71164.0	1874
5629.0	1875
5631.0	1876
71170.0	1877
5637.0	1878
5638.0	1879
38412.0	1880
5645.0	1881
38417.0	1882
38418.0	1883
5651.0	1884
38420.0	1885
71189.0	1886
