gene1,gene2,class,cancer
CCND2,ERCC4,0,BRCA
CDH1,NDRG1,0,BRCA
BRCA1,CLSTN2,1,BRCA
EXT1,LMO2,0,BRCA
FLI1,SYNE2,1,BRCA
PEX5L,TP53,1,BRCA
PTEN,SLC18A2,1,BRCA
CHEK1,PARP1,1,BRCA
JAK2,SUFU,1,BRCA
BRCA1,TM4SF18,1,BRCA
CCND2,MTRF1L,0,BRCA
DNAJB1,TP53,1,BRCA
HDAC10,PARP1,0,BRCA
BRCA2,GK5,1,BRCA
DDX10,HERPUD1,0,BRCA
BCL10,PBX1,0,BRCA
NTRK3,PARP1,0,BRCA
SS18L1,USP6,1,BRCA
MAP3K1,NOTCH2,1,BRCA
BRCA1,ETV2,1,BRCA
MAML2,SUFU,0,BRCA
LMO2,SYNE2,0,BRCA
EXT1,JAK2,1,BRCA
BRCA1,DMKN,1,BRCA
NARS2,PIK3C3,1,BRCA
BRCA1,PLVAP,1,BRCA
BRCA1,KCTD14,1,BRCA
TP53,WISP1,1,BRCA
ITPKA,PARP1,0,BRCA
DDX10,PTPN13,0,BRCA
PARP1,PRKCA,0,BRCA
EZH2,MAP2K4,1,BRCA
ABCC4,PTPN13,0,BRCA
DHRS13,NOTCH2,0,BRCA
LRRC6,TP53,1,BRCA
BRCA1,NFIX,1,BRCA
PTCH1,USP6,0,BRCA
LRRC34,TP53,1,BRCA
PARP1,PIK3R1,0,BRCA
MEN1,NOTCH2,1,BRCA
FHIT,HERPUD1,0,BRCA
BCL10,NARS2,1,BRCA
CASK,PARP1,0,BRCA
BRCA1,FZD6,1,BRCA
BCL10,NFIB,1,BRCA
IL6ST,LMO2,0,BRCA
BRCA2,BRCA2,0,BRCA
MLH1,MTRF1L,1,BRCA
ATM,HECW1,1,BRCA
BRCA1,KRBA1,1,BRCA
PARP1,STK17A,0,BRCA
PTEN,TPH1,1,BRCA
PTEN,RPE65,1,BRCA
MLH1,MLL5,1,BRCA
AUH,PTEN,1,BRCA
MTRF1L,PTCH1,1,BRCA
SLC7A14,TP53,1,BRCA
DDX10,FBN1,1,BRCA
MTBP,TP53,1,BRCA
GATA3,NARS2,1,BRCA
BRCA1,ZNF625,1,BRCA
NFKB2,PIK3C3,1,BRCA
ARHGEF12,CREBBP,0,BRCA
ABCC4,NOTCH2,1,BRCA
PARP1,PDXK,0,BRCA
FYN,PARP1,0,BRCA
BRCA1,PEX2,1,BRCA
BRAF,PARP1,0,BRCA
COLEC10,TP53,1,BRCA
CANT1,SYNE2,0,BRCA
DDX10,RECQL4,1,BRCA
PTEN,SOHLH2,1,BRCA
MET,MTRF1L,1,BRCA
DDX10,PBX1,1,BRCA
BRCA1,INTS4,1,BRCA
CANT1,ERCC4,0,BRCA
NR4A3,PTEN,1,BRCA
BRCA1,NCBP2,1,BRCA
ATM,TG,1,BRCA
CDH1,MITF,0,BRCA
HERPUD1,JAK2,1,BRCA
BRCA1,OPLAH,1,BRCA
MSI2,NARS2,1,BRCA
BRCA2,NFKB2,1,BRCA
PARP1,PLK4,0,BRCA
ACPP,ATM,1,BRCA
MYBPH,PTEN,1,BRCA
KRT27,PTEN,1,BRCA
ARHGEF12,MLL5,0,BRCA
MELK,PARP1,0,BRCA
JAK2,JAK2,0,BRCA
PARP1,PNKP,1,BRCA
BRCA1,ZFP82,1,BRCA
ABCC4,PER1,1,BRCA
MTOR,PTEN,1,BRCA
PARP1,PIK3R4,0,BRCA
FHIT,SDHB,0,BRCA
LMO2,MLH1,0,BRCA
CCND2,PPARA,1,BRCA
ADRA1B,PARP1,0,BRCA
MOS,PARP1,0,BRCA
COL1A1,MLL5,0,BRCA
DHRS13,GATA3,0,BRCA
PARP1,RAD9A,0,BRCA
FBN1,MTRF1L,0,BRCA
DHRS13,RB1,0,BRCA
CSK,PARP1,0,BRCA
BRCA1,PTPRN2,1,BRCA
CCT2,FBN1,1,BRCA
BCL10,GATA3,0,BRCA
PARP1,RFC4,1,BRCA
DHRS13,LMO2,0,BRCA
MAML2,MLL3,0,BRCA
MAML2,NOTCH2,0,BRCA
MAML2,MTRF1L,0,BRCA
DCLRE1C,PARP1,0,BRCA
MAP2K4,MAP2K4,0,BRCA
ELK4,ERCC4,0,BRCA
ABCC4,SDHB,1,BRCA
DHRS13,EXT1,0,BRCA
NR1H4,PTEN,1,BRCA
BIRC3,NF1,0,BRCA
KLHL1,PTEN,1,BRCA
BRCA1,PGPEP1,1,BRCA
DGKQ,PARP1,0,BRCA
GML,TP53,1,BRCA
CSNK1E,TP53,1,BRCA
FLI1,WRN,1,BRCA
ARHGEF12,MAP2K4,0,BRCA
BRCA1,PIP,1,BRCA
GK2,PARP1,0,BRCA
MCPH1,NF1,1,BRCA
PTEN,TMPRSS11F,1,BRCA
LMOD1,PTEN,1,BRCA
BRCA1,STMN3,1,BRCA
CCT2,MITF,0,BRCA
MAML2,SS18L1,0,BRCA
OR2T10,PTEN,1,BRCA
PTEN,RIT2,1,BRCA
BMPR2,PARP1,0,BRCA
DUOXA2,PTEN,1,BRCA
BRCA2,DPYS,1,BRCA
BRCA2,BRIP1,1,BRCA
AHCY,PARP1,0,BRCA
BRCA1,PAAF1,1,BRCA
CYP11B2,TP53,1,BRCA
MTRF1L,TRIP11,1,BRCA
AQP11,BRCA1,1,BRCA
KCNMB3,TP53,1,BRCA
ATM,OR51T1,1,BRCA
PER1,USP6,1,BRCA
IL6ST,PPARA,0,BRCA
CCT2,SS18L1,1,BRCA
LMO2,NARS2,1,BRCA
BIRC3,MET,0,BRCA
FH,FHIT,0,BRCA
PARP1,SSBP1,1,BRCA
NFIL3,PTEN,1,BRCA
ELK4,MAP2K4,1,BRCA
MLL5,TSC1,1,BRCA
PLD1,TP53,1,BRCA
ERCC4,ERCC4,0,BRCA
MAP3K1,MSI2,0,BRCA
CANT1,IL6ST,0,BRCA
CAMK1G,PARP1,0,BRCA
MCPH1,TRIP11,1,BRCA
NARS2,PTCH1,1,BRCA
NT5C1A,PTEN,1,BRCA
CDH1,DDB2,0,BRCA
PARP1,UCK1,0,BRCA
ABL2,PARP1,0,BRCA
PARP1,STK36,1,BRCA
RNF139,TP53,1,BRCA
SLA,TP53,1,BRCA
FXR1,TP53,1,BRCA
ATM,CLVS2,1,BRCA
MLLT4,USP6,1,BRCA
PARP1,RAD52,0,BRCA
TMEM44,TP53,1,BRCA
BRCA2,HERPUD1,1,BRCA
LRRTM3,PTEN,1,BRCA
AURKB,PARP1,0,BRCA
HK3,PARP1,0,BRCA
PARP1,PLK2,0,BRCA
BIRC7,BRCA1,1,BRCA
BRCA2,LRRTM3,1,BRCA
CANT1,NFKB2,1,BRCA
DHRS13,TSC1,0,BRCA
MTRF1L,NDRG1,0,BRCA
FHIT,MAP3K1,0,BRCA
ATM,POTEH,1,BRCA
BUB1B,PARP1,0,BRCA
EXT1,KRAS,1,BRCA
ACLY,PARP1,0,BRCA
BRCA2,RB1,1,BRCA
TP53,TTC14,1,BRCA
AOX1,PTEN,1,BRCA
BRCA2,KRT84,1,BRCA
DHRS13,PER1,0,BRCA
BRCA1,DHX36,1,BRCA
BIRC3,NOTCH2,1,BRCA
PTEN,SDR9C7,1,BRCA
AADAT,BRCA2,1,BRCA
MCPH1,RB1,0,BRCA
BCL10,FH,0,BRCA
EXT1,TP53,1,BRCA
CPNE6,PTEN,1,BRCA
MAP2K4,TRIP11,1,BRCA
PARP1,RPS6KC1,0,BRCA
DHRS13,NDRG1,0,BRCA
ABCC4,PIK3R1,1,BRCA
ARHGEF12,FLI1,0,BRCA
FHIT,PIK3C3,0,BRCA
PARP1,STK38L,0,BRCA
BRCA2,SUFU,1,BRCA
PARP1,STK19,0,BRCA
FLI1,MLL3,1,BRCA
MON1B,PTEN,1,BRCA
EZH2,JAK2,1,BRCA
ELK4,LMO2,0,BRCA
CDH1,NOTCH2,0,BRCA
DSG4,PTEN,1,BRCA
ACER3,BRCA1,1,BRCA
FER,PARP1,0,BRCA
TP53,ZNF623,1,BRCA
AMT,PTEN,1,BRCA
BIRC3,TRIP11,1,BRCA
ATM,PDLIM5,1,BRCA
MAP3K1,SYNE2,1,BRCA
BCL10,NOTCH2,1,BRCA
MAP3K13,PARP1,0,BRCA
BRCA1,TRA2B,1,BRCA
CDH1,TSC1,0,BRCA
ARHGEF12,CANT1,0,BRCA
ADCK1,PARP1,0,BRCA
PTEN,VPS54,1,BRCA
BRCA1,ITPR2,1,BRCA
ELK4,MAP3K1,1,BRCA
BIRC3,DHRS13,0,BRCA
RAB8A,TP53,1,BRCA
PARP1,TRPM7,0,BRCA
ORM2,PTEN,1,BRCA
NDST4,PTEN,1,BRCA
NARS2,USP6,1,BRCA
GATA3,MSI2,0,BRCA
ABCC4,NDRG1,0,BRCA
MYL2,PTEN,1,BRCA
ARG2,PTEN,1,BRCA
MLH1,PPARA,1,BRCA
MLL5,SUFU,1,BRCA
JAK2,PER1,0,BRCA
RECQL4,USP6,0,BRCA
CCT2,COL1A1,0,BRCA
KLK15,PTEN,1,BRCA
SQLE,TP53,1,BRCA
ARHGEF12,ERCC4,0,BRCA
CXCL10,PARP1,0,BRCA
